title,company,location,salary,skills,url,skills_normalized
Data Analyst,Aerobus Transport Manunggal,Payung Sekaki,Rp 7 jt-9 jt,,https://glints.com/id/opportunities/jobs/data-analyst/eecf36e9-b8d9-4454-9744-52328d7ab8a4?utm_referrer=explore&traceInfo=e519943d-e511-4bb2-9646-94f05922400d,"Data Analysis, Data Visualization, Microsoft Excel, Power BI, Python, SQL, Statistics"
Data Analyst,PT Sigma Global Teknologi,Setiabudi,Rp 7 jt-9 jt,,https://glints.com/id/opportunities/jobs/data-analyst/f3717436-ac0c-4864-aa82-9d1dbb224602?utm_referrer=explore&traceInfo=e519943d-e511-4bb2-9646-94f05922400d,"Data Analysis, Data Visualization, Microsoft Excel, Power BI, Python, SQL, Statistics"
Data Analyst Internship,PT Taharica,Duren Sawit,Rp 1 jt-1 jt,,https://glints.com/id/opportunities/jobs/data-analyst-internship/1cf37384-3347-46e0-8f42-3ee8f2dc6b4b?utm_referrer=explore&traceInfo=e519943d-e511-4bb2-9646-94f05922400d,"Data Analysis, Data Visualization, Microsoft Excel, Power BI, Python, SQL, Statistics"
Data Analyst,Bwbyaz,Serpong,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/data-analyst/3e2fa174-f4c0-406e-9077-c120d241a86d?utm_referrer=explore&traceInfo=e519943d-e511-4bb2-9646-94f05922400d,"Data Analysis, Data Visualization, Microsoft Excel, Power BI, Python, SQL, Statistics"
Data Analyst,PT Sigma Global Teknologi,Tanah Abang,Rp 8 jt-11 jt,,https://glints.com/id/opportunities/jobs/data-analyst/76a63483-a77a-4546-a8ea-5c60e8f5dc31?utm_referrer=explore&traceInfo=e519943d-e511-4bb2-9646-94f05922400d,"Data Analysis, Data Visualization, Microsoft Excel, Power BI, Python, SQL, Statistics"
Data Analyst,Kan Jia Indonesia,Cakung,"Rp 5,5 jt-6 jt",,https://glints.com/id/opportunities/jobs/data-analyst/23fe31f9-aaf0-440f-bb9c-a9220752cc44?utm_referrer=explore&traceInfo=e519943d-e511-4bb2-9646-94f05922400d,"Data Analysis, Data Visualization, Microsoft Excel, Power BI, Python, SQL, Statistics"
Data Analyst,Alcavella Indonesia,Margaasih,Rp 5 jt-7 jt,,https://glints.com/id/opportunities/jobs/data-analyst/0b4cc961-9cf8-43f5-9904-d8ea91afbfb1?utm_referrer=explore&traceInfo=e519943d-e511-4bb2-9646-94f05922400d,"Data Analysis, Data Visualization, Microsoft Excel, Power BI, Python, SQL, Statistics"
Data Analyst,PT Keranjang Sukses Indonesia,Kuta,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/data-analyst/58be65cb-7563-4a70-8b46-3365a47c03c0?utm_referrer=explore&traceInfo=e519943d-e511-4bb2-9646-94f05922400d,"Data Analysis, Data Visualization, Microsoft Excel, Power BI, Python, SQL, Statistics"
Data Analyst,PT Solusindo Digital Holistik,Setiabudi,Rp 8 jt-11 jt,,https://glints.com/id/opportunities/jobs/data-analyst/75a910dd-3963-4676-8d57-a97d7f3647bc?utm_referrer=explore&traceInfo=e519943d-e511-4bb2-9646-94f05922400d,"Data Analysis, Data Visualization, Microsoft Excel, Power BI, Python, SQL, Statistics"
Data Analyst,PT. Cahaya Poles Mulia,Dukuh Pakis,Rp 5 jt-6 jt,,https://glints.com/id/opportunities/jobs/data-analyst/07bb7d8f-7662-4ab5-9a9b-ccdd5d870ad4?utm_referrer=explore&traceInfo=e519943d-e511-4bb2-9646-94f05922400d,"Data Analysis, Data Visualization, Microsoft Excel, Power BI, Python, SQL, Statistics"
